"Signatur","Titel","Zeit","Ort"
"Sozarch_F_5025-Fb-027","""Lyon, Usine(s) Berliet, 1944. Arbeit unter freiem Himmel."" Arbeiterinnen am Werk in zerbombter Fabrik","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-028","""Lyon, Usine(s) Berliet, 1944. Arbeit unter freiem Himmel."" Arbeiterin am Werk in zerbombter Fabrik","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-029","""Lyon, Usine(s) Berliet, 1944. Die Kantine."" Arbeiter und Arbeiterinnen beim Essen","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-030","""Lyon, Usine(s) Berliet, 1944. Erste Verteilung von Colis Suisse."", Oktober 1944, ""Jeder beschädigter Arbeiter erhält 2 kg. Zucker, 1 kg. Linsen, 1/2 kg. Teigwaren, 1 Büchse Tomatenpüree, 2 Büchsen Sardinen.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-031","""Lyon 1945. Die Briefträger gehen zur Verteilung.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-032","""Lyon 1945. Vor der Abfahrt der Buben in die Ferienkolonie Berliet."" Frauen mit Kindern warten vor dem Sozialamt, vermutlich in den Berliet-Werke, Schild: ""Service social. Acceuil aux prisonniers et déportés.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-033","""Lyon 1945. Vor der Abfahrt der Buben in die Ferienkolonie Berliet.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-056","""Saint-Etienne, 1945. Die 10 köpfige Familie Grenados, 100% bombenbeschädigt, wohnt jetzt in einem Zimmer, das von der Mutter notdürftig instand gesetzt wurde. Sie hat die rohen Backsteinwände selbst getüncht. [...]""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-057","""Saint-Etienne, 1945. Wie hat Frau Grenados die Küchenecke geschmack- und phantasievoll hergerichtet! An der Wand hängen die Pfannen aus dem Aermo-Möbelpaket.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-058","""Lyon, Herbst 1944, Kinder an einem Fest der SAH."" Kinder beim Wurfspiel mit Begleitern","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-058a","""Lyon, Herbst 1944, Kinder an einem Fest der SAH."" Kinder beim Spalierspielen","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-059","""Lyon, Herbst 1944, Kinder an einem Fest der SAH."" ""Jetti Ochsenbein in Lyon"" (?)","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-059a","""Lyon, Herbst 1944, Kinder an einem Fest der SAH."" Kinder beim Blindekuhspielen mit Begleitern","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-060","""Lyon, Herbst 1944, Kinder an einem Fest der SAH."" Kinder beim Kegelspielen mit Begleiter","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-001","""Lyon, Oktober 1944. Viele Helfer stehen bereit, um die Sendungen des SAHs zu einpacken und zu verteilen.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-002","""Lyon, Oktober 1944. Das Lebensmittelmagazin wird sofort eingerichtet am Tage der Ankunft. Es ist Freitag nachmitag. Am Samstag nachmittag ist die Fabrik geschlossen."" Transparent des SAH im Hintergrund: ""Oeuvre suisse d'entraide ouvrière""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-003","""Lyon, Oktober 1944. Seit Montag morgen werden Tüten gemacht, und die Füllung der Tüten vorbereitet."" Helfer beim Vorbereiten von Rationen mit Zuckerwürfeln","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-004","""Lyon, Oktober 1944. Seit Montag morgen werden Tüten gemacht, und die Füllung der Tüten wird vorbereitet."" Helfer beim Vorbereiten von Rationen mit Zückerwürfeln, Transparent: ""Oeuvre Suisse d'Entraide Ouvrière""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-005","""Lyon, Oktober 1944. 'Colis suisse' Jeder geschädigte Arbeiter erhält 2 kg. Zucker, 1 kg. Linsen, 1/2 kg. Teigwaren, 1 Büchse Tomatenpüree, 2 Büchsen Sardinen.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-006","""Lyon, Oktober 1944. Die Verteilung beginnt Dienstag, den 3. Oktober 1944.""  ""Colis suisse', Jeder geschädigte Arbeiter erhält 2 kg. Zucker, 1 kg. Linsen, 1/2 kg. Teigwaren, 1 Büchse Tomatenpüree, 2 Büchsen Sardinen."" Transparent: ""OSEO""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-086","""Moniteurkurs in Mailand unterstützt von Schweizer Europahilfe und SAH 1949"", ein Mann beim Basteln mit zwei Mädchen","Neuzeit;20. Jh.;1901-1950;1941-1950;1949","Europa;Italien;Lombardia;Milano"
"Sozarch_F_5025-Fb-087","""Moniteurkurs in Mailand unterstützt von Schweizer Europahilfe und SAH 1949"", Jugendliche bei Turnübungen","Neuzeit;20. Jh.;1901-1950;1941-1950;1949","Europa;Italien;Lombardia;Milano"
"Sozarch_F_5025-Fb-088","""Moniteurkurs in Mailand unterstützt von Schweizer Europahilfe und SAH 1949"", ""Selbsthergestellte Flöten und Xylophone"", Drei Männer spielen Flöte","Neuzeit;20. Jh.;1901-1950;1941-1950;1949","Europa;Italien;Lombardia;Milano"
"Sozarch_F_5025-Fb-089","""Moniteurkurs in Mailand unterstützt von Schweizer Europahilfe und SAH 1949"", ein Moniteur hilft drei Mädchen beim Basteln","Neuzeit;20. Jh.;1901-1950;1941-1950;1949","Europa;Italien;Lombardia;Milano"
"Sozarch_F_5025-Fb-090","""Longueil-Annel (Ile-de-France) [eigentlich Picardie, Frankreich]"", ""Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche"", vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-091","""Longueil-Annel (Ile-de-France) [eigentlich Picardie, Frankreich]"", ""Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche"", vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-092","""Longueil-Annel (Ile-de-France) [eigentlich Picardie, Frankreich]"", ""Lehrkörper der Anstalt"" [Schule für invalide, schwachbegabte und schwererziehbare Kinder und Jugendliche], vermutlich um 1950 (Nachkriegszeit)","Neuzeit;20. Jh.;1901-1950;1941-1950","Europa;Frankreich;Picardie;Longueil-Annel"
"Sozarch_F_5025-Fb-007","""Lyon, Oktober 1944. Die Verteilung beginnt Dienstag, den 3. Oktober 1944.""  ""Colis suisse', Jeder beschädigte Arbeiter erhält 2 kg. Zucker, 1 kg. Linsen, 1/2 kg. Teigwaren, 1 Büchse Tomatenpüree, 2 Büchsen Sardinen."" Schweizer Fahne und Lothrin","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-008","""Lyon, Oktober 1944. Der Delegierte der CGT, Kamarad Dedieu, begleitet von einigen Sekretären des Syndikates und von Frl. Ribière, vom ""Service de Coordination"" der Präfektur Lyon. Sie wohnen der Verteilung bei mit der sozialen Assistentin der F","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-009","""Abholen eines Schweizer-Colis"", ""Lyon, Oktober 1944. [...] Frl. Ribière, vom ""Service de Coordination"" der Präfektur Lyon. Sie wohn[t] der Verteilung bei mit der sozialen Assistentin der Fabrik.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-010","""Lyon, Oktober 1944. Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang.""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-011","""Lyon, Oktober 1944. Wertvolle Zusatznahrung für unterernährte Arbeiter."" ""Französische Arbeiter und Arbeiterinnen der Fabriken Berliet nehmen Lebensmittel des SAH in Empfang."" Zweite von links: vermutlich Germaine Ribière (mit dem Hut)","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-061","""Lyon, Herbst 1944, Kinder an einem Fest der SAH."" Kinder beim Spielen, im Hintergrund Schweizer Fahne","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
"Sozarch_F_5025-Fb-062","""Saint-Etienne, 1945. Unser Lager."" Käse, Taschen und Kisten mit SAH-Hilfsgütern","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-063","""Saint-Etienne, 1945. Unsere Waren kommen an."" Männer beim Abladen eines Lastkraftwagens, Kisten ""Don suisse""","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-064","""Saint-Etienne, 1945. Der ganze Keller ist voll Holzbürdeli. Mitglieder der Arbeiterjugendbewegung verteilen sie an bedürftige alte Leute. Jedes hat sich in seinem Wohnquartier Adressen von notleidenden Alten gesammelt und bringt das Holz [...]","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-065","""Saint-Etienne, 7. Juli 1945. Möbelausstellung in der Bourse du Travail.Anschliessend fand eine Demonstration der Montage der Möbel statt.Anwesend die Behörden der Stadt,Vertreter des franz. Roten Kreuzes, der Entraide Française, die Empfänger d","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-066","""Saint-Etienne, 7. Juli 1945. Möbelausstellung in der Bourse du Travail."" Betten mit Gerüst und Matratze","Neuzeit;20. Jh.;1901-1950;1941-1950;1945","Europa;Frankreich;Rhône-Alpes;Saint-Etienne"
"Sozarch_F_5025-Fb-034","""Lyon 1945. Vor der Abfahrt der Buben in die Ferienkolonie Berliet."" Schild: ""Entrée Porteurs Lettre de convocation""","Neuzeit;20. Jh.;1901-1950;1941-1950;1944","Europa;Frankreich;Rhône-Alpes;Lyon"
